                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2831,                 4.5417,                 4.0901,                0.00019,                0.02206,                 0.0001,                  2e-05,                 4.2679,                 4.3373,                 3.8483,               0.070612,              0.0032653,              0.0032653
                      2,                 3.7042,                  3.853,                 3.5407,                0.00818,                 0.1284,                0.06563,                0.01776,                 3.9276,                 4.0633,                 3.6734,                0.04058,               0.006566,               0.006566
                      3,                 3.0097,                 3.2578,                 2.8899,                0.34916,                 0.1265,                0.04372,                0.01182,                  2.859,                 4.0796,                 3.3612,               0.010514,              0.0098336,              0.0098336
                      4,                 2.6582,                 2.8413,                 2.4862,                0.02298,                0.06616,                0.01053,                0.00351,                 3.2156,                 13.322,                 4.5677,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.4508,                 2.4877,                 2.2462,                0.31638,                0.10603,                0.04287,                 0.0126,                 2.9893,                 13.209,                   4.08,               0.009802,               0.009802,               0.009802
                      6,                 2.2881,                 2.2442,                 2.0483,                0.00828,                 0.4713,                0.00903,                 0.0029,                 2.8774,                 9.3533,                 3.0365,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1753,                 2.0458,                 1.9163,                0.86029,                 0.2888,                0.44811,                0.18901,                 2.0024,                 2.0129,                 2.0158,               0.009703,               0.009703,               0.009703
                      8,                 2.0537,                 1.8186,                 1.7938,                0.71865,                0.43878,                0.47439,                0.20525,                 1.9234,                  1.826,                 1.9215,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0093,                 1.7251,                 1.7315,                0.67185,                0.35158,                0.38612,                0.17339,                 1.8616,                 1.9019,                 1.9019,               0.009604,               0.009604,               0.009604
                     10,                 1.9328,                 1.5737,                 1.6682,                0.84818,                0.45279,                0.53649,                0.26419,                 1.8317,                 1.6723,                 1.8558,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8957,                 1.4879,                 1.6291,                0.74439,                0.36962,                0.48408,                0.24262,                 1.7228,                 1.7353,                 1.7833,               0.009505,               0.009505,               0.009505
                     12,                 1.8487,                 1.4191,                 1.5919,                0.67929,                0.49815,                0.52716,                0.26051,                 1.7377,                 1.4822,                 1.7627,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.778,                 1.3478,                 1.5372,                 0.7293,                0.36658,                0.45863,                0.23025,                 1.9054,                 2.1285,                 1.9222,               0.009406,               0.009406,               0.009406
                     14,                 1.7449,                 1.3118,                 1.5415,                0.88507,                0.56338,                0.61686,                0.34539,                  1.586,                 1.3252,                 1.6608,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7066,                 1.2808,                 1.5126,                0.51949,                0.52769,                0.50078,                 0.2298,                 1.8051,                 1.5351,                 1.7818,               0.009307,               0.009307,               0.009307
                     16,                 1.7175,                 1.2422,                 1.4817,                0.60351,                0.62846,                 0.6547,                 0.3384,                 1.6777,                 1.2161,                 1.6923,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6569,                 1.1906,                 1.5028,                0.93359,                0.62936,                0.71934,                0.39575,                 1.5503,                  1.101,                 1.6179,               0.009208,               0.009208,               0.009208
                     18,                 1.6051,                 1.1345,                 1.4416,                0.64746,                0.75269,                0.72287,                0.39685,                  1.501,                  1.198,                  1.566,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5868,                 1.0753,                  1.399,                0.94712,                0.62981,                0.71776,                0.41281,                 1.4557,                 1.0444,                 1.5357,               0.009109,               0.009109,               0.009109
                     20,                 1.5776,                 1.0761,                 1.4032,                0.77756,                0.69742,                0.72351,                0.38204,                 1.5609,                 1.1177,                 1.6013,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5546,                 1.0312,                 1.3814,                0.91544,                0.57736,                0.68895,                0.40522,                 1.4282,                 1.0383,                 1.5114,                0.00901,                0.00901,                0.00901
                     22,                 1.5242,                0.98351,                 1.3576,                0.91909,                0.64463,                0.74147,                0.41975,                 1.3746,                 1.0198,                 1.4707,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5139,                 1.0111,                 1.3627,                 0.6835,                0.72884,                0.74404,                0.42214,                 1.4077,                0.93465,                 1.4891,               0.008911,               0.008911,               0.008911
                     24,                 1.5148,                0.98444,                 1.3369,                0.69168,                0.62865,                0.66736,                0.36092,                 1.6257,                 1.1915,                 1.6231,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4961,                 0.9561,                 1.3209,                0.95031,                0.62192,                0.73124,                 0.4284,                 1.3705,                0.92867,                 1.4603,               0.008812,               0.008812,               0.008812
                     26,                 1.4629,                0.94701,                 1.3171,                0.84412,                0.69593,                0.77909,                0.46774,                 1.2831,                0.85125,                 1.4257,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4456,                0.90965,                 1.2966,                0.94839,                0.64668,                0.76285,                0.46578,                 1.2632,                0.80409,                 1.3948,               0.008713,               0.008713,               0.008713
                     28,                 1.4055,                0.88019,                 1.2915,                 0.8835,                0.69804,                0.78223,                0.45477,                 1.3114,                0.84027,                 1.4068,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4312,                0.89523,                  1.306,                0.94798,                0.65094,                0.74987,                0.46645,                 1.2786,                0.82899,                 1.3943,               0.008614,               0.008614,               0.008614
                     30,                 1.4018,                0.87529,                 1.2782,                0.71475,                0.75862,                0.77705,                0.46967,                 1.2963,                0.83409,                 1.4069,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3969,                0.86744,                 1.2739,                0.76265,                0.75829,                0.79118,                0.49907,                 1.2744,                0.78394,                 1.4029,               0.008515,               0.008515,               0.008515
                     32,                 1.3857,                0.86849,                 1.2717,                0.70571,                0.77342,                0.78015,                0.48075,                 1.2507,                 0.7668,                 1.3767,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3563,                0.83204,                 1.2489,                0.67865,                 0.7479,                0.78755,                0.48929,                  1.249,                 0.7916,                 1.3981,               0.008416,               0.008416,               0.008416
                     34,                 1.3748,                0.84619,                 1.2623,                0.79152,                0.78252,                0.82688,                0.48657,                  1.323,                0.82335,                 1.4235,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.344,                0.82636,                 1.2618,                0.81127,                0.80778,                0.79895,                0.50273,                  1.322,                0.79635,                 1.4532,               0.008317,               0.008317,               0.008317
                     36,                 1.3723,                0.82036,                 1.2535,                0.79275,                0.77664,                0.81945,                0.50251,                 1.2426,                0.76852,                 1.3723,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3389,                0.81405,                 1.2613,                0.75063,                0.76394,                 0.8346,                0.51222,                 1.2369,                0.75769,                 1.3696,               0.008218,               0.008218,               0.008218
                     38,                 1.3329,                0.79619,                 1.2327,                0.78615,                0.75371,                0.78349,                0.47999,                 1.3265,                0.84979,                 1.4184,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3082,                 0.7921,                 1.2359,                0.75967,                0.79134,                0.80077,                0.51344,                 1.2303,                0.73343,                 1.3647,               0.008119,               0.008119,               0.008119
                     40,                 1.3094,                0.79716,                 1.2477,                0.78675,                0.80403,                0.84021,                0.50922,                 1.2323,                0.77749,                   1.36,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3202,                0.77967,                 1.2275,                0.77911,                0.77343,                0.80071,                0.50891,                 1.2337,                0.73491,                 1.3628,                0.00802,                0.00802,                0.00802
                     42,                 1.3173,                0.79611,                 1.2301,                0.76459,                0.82784,                0.84288,                0.52543,                 1.1801,                0.67976,                 1.3148,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2693,                0.76878,                 1.2204,                0.73176,                0.80601,                0.80936,                0.52259,                 1.1491,                0.68443,                  1.302,               0.007921,               0.007921,               0.007921
                     44,                 1.2693,                 0.7554,                 1.1987,                0.81691,                0.82192,                0.85391,                0.54498,                 1.1374,                0.67555,                 1.3003,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2869,                0.74808,                 1.2068,                0.82016,                0.78683,                0.83644,                0.51771,                 1.2194,                0.73604,                  1.343,               0.007822,               0.007822,               0.007822
                     46,                 1.2698,                0.73625,                 1.2141,                0.87669,                0.82771,                0.88052,                0.55669,                 1.1353,                0.64586,                 1.2903,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2626,                 0.7432,                 1.2011,                0.85727,                0.79926,                0.85166,                0.54604,                 1.1078,                0.65967,                 1.2884,               0.007723,               0.007723,               0.007723
                     48,                 1.2445,                0.72656,                  1.194,                0.81341,                0.82566,                0.82987,                0.52586,                  1.146,                0.68173,                 1.2913,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2499,                0.72561,                 1.1957,                0.80981,                 0.8144,                0.82835,                0.53643,                 1.1183,                 0.6487,                 1.2806,               0.007624,               0.007624,               0.007624
                     50,                 1.2528,                0.72348,                 1.1752,                0.81419,                0.81478,                0.83752,                0.53385,                 1.2162,                0.73741,                 1.3591,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2512,                0.73022,                 1.2004,                0.80251,                0.84233,                0.85556,                0.55306,                 1.1595,                0.66273,                 1.3091,               0.007525,               0.007525,               0.007525
                     52,                 1.2359,                0.71865,                 1.1918,                0.81149,                0.86965,                0.85967,                0.54818,                 1.1652,                0.67272,                 1.3003,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2597,                0.71928,                 1.1873,                0.84235,                0.80553,                0.84144,                 0.5483,                 1.1554,                0.65281,                 1.3023,               0.007426,               0.007426,               0.007426
                     54,                 1.2263,                0.72024,                 1.1737,                0.83956,                0.84933,                0.87399,                0.55614,                  1.191,                0.65278,                 1.3134,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2249,                0.71263,                 1.1925,                0.88933,                0.81628,                0.87141,                0.55827,                 1.1171,                0.63584,                 1.2886,               0.007327,               0.007327,               0.007327
                     56,                 1.2118,                0.69402,                 1.1656,                0.82279,                0.84101,                0.88197,                0.56759,                 1.1537,                0.64605,                 1.3117,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2171,                0.70574,                 1.1596,                0.80536,                0.83584,                0.84705,                0.55585,                 1.1229,                 0.6467,                 1.2763,               0.007228,               0.007228,               0.007228
                     58,                 1.2273,                0.70195,                 1.1757,                0.80461,                0.87247,                0.85202,                0.54798,                 1.1833,                0.65305,                 1.3084,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1994,                0.69169,                 1.1657,                0.85411,                0.85075,                0.91376,                0.56958,                 1.1497,                0.63399,                 1.2956,               0.007129,               0.007129,               0.007129
                     60,                 1.2216,                0.69768,                 1.1787,                0.86738,                0.81724,                0.86041,                0.56678,                 1.1558,                0.63278,                  1.301,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2077,                0.68963,                 1.1668,                0.89842,                0.81235,                0.86959,                0.55278,                 1.1712,                 0.6521,                 1.3234,                0.00703,                0.00703,                0.00703
                     62,                 1.2105,                0.68801,                 1.1682,                0.89442,                0.87964,                0.90686,                 0.5728,                 1.1252,                0.61717,                 1.2868,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1845,                0.66342,                 1.1498,                0.86239,                0.86596,                0.90699,                0.58797,                 1.0794,                 0.6299,                 1.2539,               0.006931,               0.006931,               0.006931
                     64,                 1.1618,                0.65054,                 1.1629,                0.93715,                0.85151,                0.90937,                0.58887,                 1.1106,                0.59146,                 1.2652,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1999,                0.67556,                 1.1611,                0.88487,                0.88083,                0.91244,                0.58142,                 1.1111,                0.62291,                 1.2925,               0.006832,               0.006832,               0.006832
                     66,                 1.1998,                0.67848,                 1.1441,                0.87985,                 0.8624,                0.90523,                0.57509,                 1.1215,                0.61102,                 1.2867,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2022,                0.68153,                 1.1742,                0.86639,                0.87099,                0.88547,                0.57178,                 1.1359,                0.61233,                 1.2747,               0.006733,               0.006733,               0.006733
                     68,                 1.1701,                0.65054,                 1.1447,                 0.9007,                0.85433,                0.89976,                0.55774,                 1.1597,                0.61448,                 1.2998,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1931,                0.66831,                 1.1519,                0.88535,                0.85091,                0.88433,                0.57952,                 1.1183,                0.60023,                 1.2702,               0.006634,               0.006634,               0.006634
                     70,                 1.1654,                0.65354,                 1.1576,                 0.8813,                0.84698,                0.86447,                0.57818,                 1.1414,                0.61594,                 1.2824,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1413,                0.63791,                 1.1263,                0.88942,                0.85506,                 0.9019,                0.57486,                  1.117,                0.59145,                 1.2825,               0.006535,               0.006535,               0.006535
                     72,                 1.1741,                0.65656,                 1.1351,                0.89869,                0.86027,                0.89706,                0.59146,                 1.0926,                0.58797,                 1.2673,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1518,                0.64126,                 1.1392,                0.89915,                0.84675,                  0.883,                0.57648,                 1.0935,                0.57995,                 1.2556,               0.006436,               0.006436,               0.006436
                     74,                 1.1696,                 0.6467,                 1.1334,                0.90372,                0.85586,                0.89576,                0.60373,                  1.059,                0.57079,                 1.2446,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1474,                0.64247,                 1.1347,                0.88057,                0.86746,                0.88107,                0.57554,                 1.0817,                0.59035,                  1.246,               0.006337,               0.006337,               0.006337
                     76,                 1.1626,                0.65487,                  1.155,                0.89497,                0.82037,                0.89101,                0.58095,                 1.0913,                0.58259,                 1.2515,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1452,                0.64229,                 1.1275,                0.86528,                0.87452,                0.89191,                0.58292,                  1.117,                0.58418,                 1.2654,               0.006238,               0.006238,               0.006238
                     78,                 1.1384,                0.62897,                 1.1239,                0.81456,                0.84865,                 0.8526,                 0.5727,                 1.0905,                0.58278,                  1.257,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1585,                 0.6432,                   1.14,                0.92957,                0.79368,                0.87307,                0.55444,                 1.1693,                0.61923,                  1.296,               0.006139,               0.006139,               0.006139
                     80,                 1.1568,                0.62885,                  1.107,                0.89688,                0.83268,                0.87907,                0.57464,                 1.0938,                0.59289,                  1.274,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1455,                 0.6233,                   1.13,                0.84756,                0.88115,                0.87684,                0.56982,                 1.1108,                0.58585,                 1.2621,                0.00604,                0.00604,                0.00604
                     82,                  1.111,                0.60695,                 1.1118,                0.82815,                0.86885,                0.87459,                0.57718,                 1.1148,                0.58553,                 1.2647,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.139,                0.61676,                 1.1117,                0.86962,                0.84592,                0.86848,                0.58393,                    1.1,                0.57593,                 1.2608,               0.005941,               0.005941,               0.005941
                     84,                 1.1314,                0.61891,                 1.1169,                0.84952,                0.85278,                0.85851,                0.57343,                 1.0774,                0.57335,                 1.2477,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1456,                0.62464,                 1.1287,                0.88138,                0.87458,                0.88361,                0.59548,                 1.0815,                0.54784,                 1.2507,               0.005842,               0.005842,               0.005842
                     86,                 1.1148,                0.60548,                  1.111,                 0.8946,                0.84868,                0.88602,                0.58929,                  1.113,                0.56107,                 1.2712,              0.0057925,              0.0057925,              0.0057925
                     87,                  1.115,                0.60361,                 1.1037,                0.88644,                 0.8544,                0.89568,                0.58395,                 1.0617,                0.57585,                 1.2389,               0.005743,               0.005743,               0.005743
                     88,                 1.1285,                0.61585,                 1.1075,                0.88907,                0.87133,                0.88908,                0.58359,                 1.0678,                0.59095,                 1.2455,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1163,                0.61104,                 1.1132,                0.91018,                0.84936,                0.89215,                0.60139,                 1.0662,                0.58456,                 1.2352,               0.005644,               0.005644,               0.005644
                     90,                 1.1262,                0.61039,                 1.1211,                0.89977,                0.88741,                0.89929,                0.59619,                 1.0877,                0.56234,                 1.2493,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1314,                0.61143,                 1.1148,                0.87192,                0.88267,                0.89723,                0.58844,                 1.0624,                0.54888,                 1.2323,               0.005545,               0.005545,               0.005545
                     92,                 1.1137,                0.61107,                 1.1114,                0.87951,                0.86474,                0.88521,                0.58591,                 1.0774,                0.56496,                 1.2429,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1044,                0.60646,                 1.1138,                0.88979,                0.86405,                0.87617,                 0.5923,                 1.0751,                0.54568,                 1.2382,               0.005446,               0.005446,               0.005446
                     94,                 1.0906,                0.59355,                  1.105,                0.88327,                0.88109,                0.89345,                0.56719,                 1.1138,                0.55476,                 1.2741,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0951,                0.58687,                  1.104,                0.88579,                0.88203,                 0.9032,                0.59811,                 1.0693,                0.53765,                 1.2365,               0.005347,               0.005347,               0.005347
                     96,                 1.1095,                0.59948,                 1.1076,                0.90672,                0.87153,                0.89921,                0.60442,                 1.0704,                  0.551,                 1.2436,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1238,                0.62048,                 1.1114,                0.88543,                0.86297,                0.90935,                0.58427,                 1.0753,                0.55095,                 1.2378,               0.005248,               0.005248,               0.005248
                     98,                 1.1062,                0.59772,                  1.103,                0.85741,                0.85945,                 0.8684,                0.57342,                 1.0653,                0.53893,                 1.2319,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0875,                0.58949,                 1.1036,                0.91527,                0.87914,                0.89657,                0.60158,                 1.0938,                0.56238,                 1.2503,               0.005149,               0.005149,               0.005149
                    100,                 1.0762,                 0.5838,                 1.1095,                0.95523,                0.86273,                0.92833,                 0.6052,                  1.087,                  0.555,                 1.2403,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0913,                0.58491,                 1.1019,                0.88491,                 0.8637,                0.90143,                0.60068,                 1.0567,                0.55221,                 1.2246,                0.00505,                0.00505,                0.00505
                    102,                 1.1059,                0.59782,                 1.0987,                0.90597,                0.84708,                0.88473,                0.59543,                  1.076,                0.55168,                 1.2559,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.082,                0.59082,                  1.106,                0.85261,                0.90064,                0.90348,                0.60159,                 1.0719,                0.56007,                 1.2484,               0.004951,               0.004951,               0.004951
                    104,                 1.0825,                0.59409,                 1.1018,                0.88371,                0.91352,                0.91945,                0.60644,                 1.0638,                0.53449,                 1.2291,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0516,                0.56729,                 1.0838,                0.88634,                0.87488,                0.88772,                0.60253,                 1.0613,                0.53463,                 1.2373,               0.004852,               0.004852,               0.004852
                    106,                 1.0809,                 0.5804,                  1.094,                0.91088,                0.87744,                0.91053,                0.58263,                 1.0682,                0.55263,                 1.2482,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0771,                0.59293,                 1.1009,                0.93517,                0.85024,                0.91736,                0.61455,                  1.058,                 0.5299,                 1.2299,               0.004753,               0.004753,               0.004753
                    108,                 1.0757,                0.58139,                 1.1028,                0.86972,                0.87485,                0.88244,                0.59785,                  1.085,                0.55273,                 1.2561,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0841,                0.58537,                 1.0954,                0.88084,                 0.8746,                 0.9043,                0.61463,                  1.068,                 0.5459,                  1.239,               0.004654,               0.004654,               0.004654
                    110,                  1.066,                0.57626,                 1.0956,                0.87074,                0.87639,                 0.8971,                0.60902,                 1.0703,                0.53866,                 1.2295,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0893,                0.58125,                 1.0908,                0.87918,                0.88267,                 0.8837,                0.60411,                 1.0651,                0.53737,                 1.2434,               0.004555,               0.004555,               0.004555
                    112,                 1.0662,                0.57274,                 1.0886,                0.90661,                0.86208,                 0.8951,                0.61101,                 1.0642,                0.52897,                 1.2375,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0634,                0.56586,                 1.0863,                0.92489,                0.88674,                0.92318,                 0.6126,                 1.0554,                0.52602,                 1.2366,               0.004456,               0.004456,               0.004456
                    114,                 1.0848,                0.57252,                 1.0854,                0.91818,                0.88389,                0.92003,                0.62031,                 1.0775,                0.52563,                 1.2458,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0932,                0.58164,                 1.0874,                  0.898,                0.89691,                0.90046,                0.61647,                 1.0667,                0.53041,                 1.2448,               0.004357,               0.004357,               0.004357
                    116,                 1.0654,                0.56975,                 1.0932,                0.90581,                0.85287,                0.89091,                 0.6048,                 1.0528,                0.52528,                 1.2215,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.0428,                0.56085,                 1.0794,                0.90976,                0.87427,                0.91714,                 0.6146,                 1.0567,                 0.5259,                 1.2299,               0.004258,               0.004258,               0.004258
                    118,                 1.0386,                0.55646,                 1.0795,                0.92515,                0.90247,                0.91847,                0.62311,                 1.0678,                0.51858,                 1.2396,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0654,                0.56823,                  1.082,                 0.9113,                0.89651,                0.92736,                  0.621,                 1.0456,                0.50502,                 1.2219,               0.004159,               0.004159,               0.004159
                    120,                 1.0434,                0.56003,                 1.0668,                0.89997,                0.90339,                0.91987,                0.61781,                 1.0478,                0.51305,                 1.2287,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0647,                0.55687,                 1.0655,                0.91507,                0.89642,                0.92194,                0.61069,                 1.0828,                0.52666,                 1.2566,                0.00406,                0.00406,                0.00406
                    122,                  1.041,                0.55588,                 1.0823,                0.92601,                0.88691,                0.91092,                0.61334,                  1.061,                0.53143,                 1.2347,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0591,                0.55696,                 1.0908,                0.88984,                0.87473,                0.88974,                0.60658,                 1.0434,                0.52278,                 1.2152,               0.003961,               0.003961,               0.003961
                    124,                 1.0555,                0.56466,                 1.0841,                0.93728,                0.89342,                0.93649,                0.61563,                  1.042,                0.51044,                 1.2245,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0387,                0.54586,                 1.0654,                0.89217,                 0.8721,                0.90441,                 0.6076,                  1.037,                0.51639,                 1.2187,               0.003862,               0.003862,               0.003862
                    126,                 1.0592,                0.55934,                 1.0692,                0.94583,                0.90208,                0.94434,                 0.6103,                  1.045,                0.52785,                 1.2291,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0456,                0.55424,                 1.0648,                0.86806,                0.91637,                0.89772,                0.60435,                 1.0573,                0.53102,                 1.2343,               0.003763,               0.003763,               0.003763
                    128,                 1.0412,                  0.557,                 1.0902,                0.88633,                0.90759,                0.92872,                0.61621,                 1.0551,                 0.5117,                 1.2285,              0.0037135,              0.0037135,              0.0037135
                    129,                  1.044,                0.55821,                 1.0714,                0.92672,                0.89172,                0.92286,                0.61306,                 1.0396,                0.53041,                 1.2284,               0.003664,               0.003664,               0.003664
                    130,                 1.0381,                0.54486,                  1.069,                0.91579,                0.89736,                0.91862,                0.62229,                 1.0339,                0.50386,                 1.2236,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0321,                 0.5357,                 1.0642,                0.90834,                0.85085,                0.87312,                0.60558,                 1.0422,                0.51222,                  1.233,               0.003565,               0.003565,               0.003565
                    132,                 1.0274,                0.53161,                  1.056,                0.88627,                0.89918,                 0.9164,                 0.6186,                 1.0371,                0.50639,                 1.2259,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0576,                 0.5581,                 1.0843,                0.90154,                0.89266,                0.90386,                0.61594,                  1.047,                0.52153,                 1.2237,               0.003466,               0.003466,               0.003466
                    134,                 1.0528,                0.53922,                  1.056,                0.88733,                0.91207,                0.91412,                0.62421,                  1.027,                0.50912,                 1.2161,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0377,                0.54428,                 1.0535,                0.89315,                0.91081,                0.91493,                0.61969,                 1.0316,                0.51798,                 1.2261,               0.003367,               0.003367,               0.003367
                    136,                 1.0175,                0.53428,                  1.054,                0.94779,                0.88705,                0.92924,                0.61401,                  1.034,                 0.5036,                 1.2147,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0392,                0.54927,                 1.0679,                0.93882,                0.87211,                0.91486,                0.62754,                 1.0353,                0.50774,                 1.2068,               0.003268,               0.003268,               0.003268
                    138,                 1.0252,                0.53298,                 1.0552,                0.90637,                0.86304,                0.89792,                0.61432,                 1.0395,                0.50608,                 1.2138,              0.0032185,              0.0032185,              0.0032185
                    139,                   1.03,                0.53661,                 1.0601,                0.92459,                0.88204,                0.91293,                0.61983,                  1.031,                0.50083,                 1.2136,               0.003169,               0.003169,               0.003169
                    140,                 1.0232,                0.53825,                 1.0545,                0.91779,                0.91013,                0.93479,                0.62852,                 1.0091,                 0.5001,                  1.203,              0.0031195,              0.0031195,              0.0031195
                    141,                  1.018,                0.53133,                 1.0597,                0.89289,                0.88789,                0.90572,                0.62065,                 1.0241,                0.50861,                 1.2168,                0.00307,                0.00307,                0.00307
                    142,                 1.0213,                 0.5351,                 1.0594,                0.92193,                0.88247,                0.91528,                0.62285,                 1.0516,                0.50147,                 1.2317,              0.0030205,              0.0030205,              0.0030205
